id,sig_id,design_group_id,tags,,,
186,,,"{psychology,""Quality Assurance"",management,leadeship}",,,
1540,6,,"{research,""learning technology"",""qualitative research"",""teacher training""}",,,
80,,,"{math,algebra,statistics,calculus,""linear algebra"",""college algebra"",""discrete math""}",,,
81,,,"{""Eighth Grade"",""Algebra Honors"",pre Algebra,""Enriched pre Algebra""}",,,
1459,2,,,,,
1668,6,,"{english,english as second language,teenagers,""second language acquisition"",""foreign languages"",education,""english as second language"",""teaching children"",""teaching adults"",""english for specific purposes"",""applied linguistics""}",,,
132,,,"{Geometry,algebra,Analysis,calculus,probability,proofs,""problem solving"",programming,""procedural thinking""}",,,
118,,,"{GIS,English,Literature,""Social Issues""}",,,
94,,,{"english as foreign language"},,,
149,,,,,,
93,,,"{""english as foreign language"",""tourism english"",""business english""}",,,
260,5,,"{""information  communication technology"",research,""information literacy"",reading}",,,
885,18,,"{software,test,coding,""human resource management"",""project management"",programming}",,,
307,1,,"{""Bible,"",""Teaching  learning technology""}",,,
434,4,,"{english as second language,english as second language,""6th grade"",""7th grade"",""Common Core"",Journeys,Literature,Grammar,""reading comprehension"",writing,""second language speaker"",UAE,""Arabic as first language"",""Skill based learning"",iPad,Differentiation,""Integrating skills""}",,,
1274,18,,,,,
1421,13,,,,,
1364,13,,{control},,,
1279,6,,"{""french as foreign language"",""english for specific purposes"",linguistics,french,technology,""teacher training"",""english as second language""}",,,
1423,17,,"{""informal education"",""science museum"",arts}",,,
107,,,,,,
1385,6,,,,,
89,,,"{Phy,physiology,pharmacy,biotechnology,immunology,""public health"",biology}",,,
1070,3,,"{""inquiry based instruction"",innovation,""instructional coach"",robots,inquiry}",,,
119,3,,"{""teacher training"",french,innovation,""information technology"",""global perspective""}",,,
129,,,"{""active learning"",steam,astronomy,""design based research"",""art history"",""contemporary art"",""maker movement""}",,,
97,,,"{libraries,primary}",,,
660,3,,"{video,filmmaking,""graphic design"",animation,""digital media""}",,,
159,18,,"{""Computer architecture"",""Microsoft Office"",Windows}",,,
100,,,"{""english as foreign language"",""english as second language"",""educational supervisor"",english as second language,english as second language,""teacher training"",""teacher training education active methods problem based learning creativity innovation collaborative learning""}",,,
1623,18,,"{""teacher training"",""teaching with technology"",""technology in education"",""technology integration"",""distance education"",""instructional design   technology"",""higher education""}",,,
1205,2,,{"teacher PD"},,,
1408,2,,{"statistics pedagogy online learning authentic inquiry learning"},,,
126,,,"{Chemistry,biochemistry}",,,
911,2,,{"A level chemistry"},,,
1295,6,80,{"twenty first century learning design"},,,
128,18,,,,,
1201,15,,"{""Elementary consultant"",mathematics,literacy,science,""social studies"",technology,""K 8 professional development""}",,,
121,,,,,,
861,1,,"{""Algebra"",pre calculus,""AB Calculus"",""Small Business"",entrepreneurship}",,,
241,2,,"{psychology,biology}",,,
122,,,"{SAT,""SAT Subject tests""}",,,
182,,,{"lesson plans activities listening exercises pronunciation practical ideas"},,,
283,13,,"{""Life  living"",""Earth  beyond"",Mixtures}",,,
148,,,"{Administrator,""social issues"",law,""critical thinking"",""word problems"",""human rights  responsibilities"",history,""college prep""}",,,
143,,,"{engineering,automobile,Cars,Engine,Materials,production}",,,
130,,,"{""english language"",education}",,,
1612,18,,"{""health  physical education"",""Exercise science""}",,,
139,,,"{maths,seasons,weather,""time telling"",""primary science"",""primary math"",""primary years program"",phonics,""number recognition""}",,,
915,4,,"{""business education"",management,economics,humanities,marketing,finance,accounting}",,,
1155,3,,"{arts,humanities,""online teaching"",""higher education""}",,,
136,,,"{""english as foreign language"",""english language"",""elementary reading"",""elementary writing"",""learning skills""}",,,
144,,,"{elementary,STEM,STEAM,science,math,""technology integration"",""language arts"",writing,reading,""primary science"",""instructional coach"",inquiry}",,,
432,6,,{english},,,
281,5,,"{""educational technology"",""technology integration"",internet,design,interactive,programming,""project work"",blended,""learning strategies"",""learning process"",strategies,""english as second language""}",,,
160,,,"{Physics,""physics education"",programming}",,,
1366,1,,"{statistics,""technology integration""}",,,
192,,,"{physics,mathematics,chemistry}",,,
201,,,"{""english  language"",grammar,literature}",,,
161,,,"{english,language arts,language development,eld}",,,
187,,,"{""english language"",""veterinary medicine"",music}",,,
1653,18,,"{""writing skills"",""reading skills"",research,communication}",,,
162,,,{geometry},,,
1123,2,,,,,
168,,,"{""english language"",""Second language writing"",""english as second language"",""Computer assisted language learning""}",,,
367,6,17,"{language,""civic education""}",,,
152,,,{"math tec sci"},,,
154,,,"{""study skills"",assessment,""ancient civilizations"",comprehension,""indigenous cultures"",novels,""western civilization"",""word problems"",reading,""u s  history""}",,,
247,,,"{html,""english language"",practical,psychology,writing,robotics,reading,reflection,innovation,""information technology"",""instructional design""}",,,
163,,,{high school},,,
1513,6,,"{""teacher languages"",spanish teacher,spanish language}",,,
183,,,{"elementary subjects"},,,
169,,,"{""english as foreign language"",kindergarten,""active learning"",""adult education"",""english as second language"",""english language"",""educational technology""}",,,
1388,17,,"{gamification,""Science museum"",""inquiry based science education"",""online teaching"",""design based research"",""instructional design   technology""}",,,
1084,6,,"{""english as foreign language"",""english as second language"",kindergarten,literature}",,,
890,5,,"{""technology integration"",""technology professional development"",technology,music}",,,
1443,18,,,,,
84,,,"{hospitality,""history from middle age contemporary"",nutrition,""elementary writing""}",,,
1092,4,,"{entrepreneurship,history,""us history"",""business education"",economics,science}",,,
271,,,"{""inquiry based instruction"",""teaching with technology""}",,,
165,,,"{language,""computer assisted language learning"",""international studies""}",,,
171,,,,,,
218,,,{"educational technology"},,,
220,,,"{""Human development"",humanities,psychology}",,,
248,,,"{art,art brazil}",,,
401,6,,"{Latin,Roman,""classical languages"",""classical civilization"",Greek,philosophy}",,,
705,2,,{"high school physics chemistry mathematics"},,,
1134,18,,{},,,
184,4,,"{English,literacy,literature,Grammar}",,,
174,,,{"computer science"},,,
1300,3,,"{ipad,storytelling,portuguese,brazil,interactive}",,,
361,,,"{literature,literacy,l,""writing workshop""}",,,
181,,,,,,
213,,,"{kindergarten,""preparatory class"",technology,""english as foreign language"",""elementary writing"",education,""foreign language"",reading,writing}",,,
195,,,"{chemistry,biochemistry,biotechnology,Biophysics,science,bioinformatics,math}",,,
189,,,"{language,Design,""History design"",Spanish,""english as foreign language""}",,,
1646,18,,"{workplace,""adult education"",humanitarian,development,""global health"",constructivism,""organizational learning"",""informal learning"",""learning culture"",performance}",,,
776,18,,"{management,leadeship,""learning skills"",""learning styles"",""adult education"",marketing,statistics,""human resource management""}",,,
1091,6,,{"english as second language"},,,
180,,,{"Teaching mathematics"},,,
185,,,"{biology,microbiology,""human organ systems"",genetics,biotechnology}",,,
1365,6,,"{spanish,""high school""}",,,
234,,,{"High School Chemistry"},,,
258,,,"{""technology integration"",literacy}",,,
179,,,"{psychology,math,science,language,""special needs""}",,,
1321,6,,"{languages,planning,""blended learning"",""distance learning"",technology,""second language speaker"",""second language writing"",""second language reading""}",,,
1367,17,,,,,
1090,18,6,{"medical education"},,,
306,6,,{"An English for preschool  school children"},,,
282,13,,,,,
1066,1,,"{""applied mathematics"",assessment,design,""differential equations""}",,,
245,18,,"{""instructional design"",""educational technology"",""higher education"",technology,Learning,""digital learning"",develop,evaluate,collabo,curriculum}",,,
193,,,"{robotics,chemistry,engineering,""3d cad"",programming}",,,
198,,,{"cairo   egypt"},,,
963,6,,"{spanish,""spanish conversation"",""foreign languages"",literature,""life long learning"",linguistics,""hispanic studies"",homeschooling,""educational games"",""e class rooms"",""games in education"",gamification,""multimedia assisted language learning"",""online teaching"",""creative teaching"",""classroom management"",change,creativity}",,,
1381,2,,{dentistry},,,
204,,,"{biology,biodiversity,biotechnology,biochemistry,""chemical bonding"",""chemical reactions"",""chemical calculations"",chemistry,""chemical systems  equilibrium"",""climate change"",""chemistry in the environment"",""chemical reactions  their applications"",""cellular biology"",""atoms, elements,  compounds"",assessment,anatomy,physiology,evolution,ecosystems,""earth science"",""force  motion"",genetics,""human organ systems"",""human health  the environment"",homeostasis,kinematics,""population dynamics"",physics,""secondary school earth science"",stoichiometry,sound,statistics,""structure  properties matter"",sustainability,energy,""tissues, organs,  systems"",""velocity motion"",vectors,""gases  atmospheric chemistry"",cells,""periodic table"",""chemical names""}",,,
344,,,"{""transducer engineering"",""advanced instrumentation systems"",""control systems"",""biomedical instrumentation"",""virtual instrumentation"",""power plant instrumentation"",""instrumentation in aerospace industry""}",,,
639,3,,{"physical education"},,,
300,,,"{mathematics,physics,philosophy}",,,
1576,18,,{},,,
1558,15,,"{Training,""Lecture on content""}",,,
265,5,,"{workshop,construction,architecture,technology,""technical drawing"",woodwork,engineering,electronics,design,metalwork}",,,
732,5,,"{library,""library media"",""technology integration"",creativity,""inquiry based instruction""}",,,
211,,,"{""english language"",engineering,music,mathematics,robotics}",,,
1280,3,,{"Music Montessori Language French Maths"},,,
1278,13,,"{engineering,""mechanical engineering""}",,,
257,2,,"{tutor,""Marin Chinese"",physics,""physical science""}",,,
333,,,"{""electrical machines"",""electrical power system"",""electrical circuits""}",,,
244,6,,"{linguistics,""foreign language"",""english as foreign language"",""english literature"",""american literature""}",,,
85,18,,"{""Mechanical Engineering"",Engineering,Design,Mathematics,""Numerical Methods"",""Finite Element Methods"",""Sustainable Engineering""}",,,
243,,,{0},,,
242,,,"{holistic,educat,""arts based"",education,""visual arts"",jk,sk,primary school,""hs on"",innovative,ipad,experiential,""love learn"",enthusiastic,art}",,,
972,15,,"{languages,""fun classroom"",story,""reading   writing""}",,,
1682,6,,"{spanish,""spanish conversation"",communication,""educator preparation"",language,""language arts""}",,,
208,,,{"social work"},,,
120,2,35,,,,
322,,,"{""technology integration"",robotics,electronics}",,,
222,,,,,,
262,,,"{""english literacy"",math,science,""design technology"",metacognition}",,,
323,,,"{astronomy,physics,mathematics,""new technologies""}",,,
643,13,,"{""reading workshop"",""technology integration"",""primary math"",""physical education"",""primary science"",""primary social studies"",religion,reading,assessment}",,,
1039,2,,"{""climate change"",kinematics,""food systems"",""force  motion"",""electricity  magnetism"",""waves  sound"",""energy transformations"",biodiversity,""biogeochemical cycle"",sustainability,astronomy,cells,optics,""tissues, organs,  systems"",""atoms, elements,  compounds"",""chemical bonding"",""chemical reactions"",""chemical reactions  their applications""}",,,
264,,,,,,
788,5,,"{technology,""technology integration"",""tech coach""}",,,
215,,,"{""waves  sound"",optics,""organic chemistry"",light,experiment,""electricity  magnetism"",""chemical reactions"",""chemical calculations"",chemistry,electrochemistry,calculus,geometry,trigonometry,probability,""problem solving"",pre algebra,statistics,lab,""periodic table""}",,,
543,1,,"{""Integrated Math"",""Freshman Physics"",Physics,Math,""Algebra"",Geometry,statistics,probability}",,,
228,2,,"{""Quantum Physics"",""science teaching""}",,,
1454,6,,{schoolage},,,
232,,,"{""fun classroom"",""interesting presentation"",science,math,song,drama,games,""critical thinking"",""crafts making"",creativity,design,""thinking skills"",behavior,music,""cultural studies"",comprehension,""communicative methods"",""Task based Language learning"",""english as second language"",""time management"",""class management"",technology,""Emotional Intelligent"",""Psychology"",activities,tasks,vocabulary,grammar,reading,writing,""writing workshop"",""creative reading"",reinforcement,feedback,""multiple intelligent""}",,,
308,,,,,,
226,,,,,,
227,,,"{mathematics,""science biology physics chemistry environmental science"",health}",,,
284,,,"{chemistry,biology,biochemistry,environment,Toxicology}",,,
230,,,,,,
334,,,,,,
239,4,,{"English  reading   writing"},,,
231,,,"{""language arts"",""learning skills"",research,pedagogy,""creative teaching"",""collaborative learning"",""resilience topics"",philosophy}",,,
240,,,,,,
1154,6,,"{Children,""english as foreign language""}",,,
294,,,"{ Maths,Biology,english as second language,History,Business,Literature,Debate,Environmental Management}",,,
1156,18,,,,,
1182,18,,,,,
263,,,"{""teaching for engineering students"",leadership,autocad,""freshmen university students""}",,,
200,,,"{robotics,robots,""computer programing"",multimedia,internet}",,,
310,,,"{physics,chemistry}",,,
1386,18,,{ECE},,,
378,,,{"small active cute"},,,
863,5,,"{electronics,electricity,programming,design,engineering,robotics,architecture,woodwork,""form  function"",""problem solving"",""project based learning"",""digital media""}",,,
1319,6,,"{quebec,montreal,french,""french as foreign language"",""adaptation scolaire""}",,,
561,13,,"{science,mathematics,elementary,english,primary school,""social studies"",music,art,health,""physical education"",""special education""}",,,
309,,,,,,
616,6,,"{Language,Linguistics,Music,Motivation,Emotion}",,,
1301,13,,"{""grade 3"",""technology integration"",""technology  inquiry"",""technology professional development"",""team building""}",,,
246,,,,,,
295,,,,,,
645,1,,,,,
1489,13,,,,,
253,,,,,,
285,,,"{""physical science"",environment,""chemistry in the environment""}",,,
191,18,,"{""design based research"",""Strategic Design"",Research,Arts,""Social science"",Humanities,Strategies,Education}",,,
1294,18,,{3},,,
1322,18,,"{teamwork,""team building"",training,leadership,""learning  development"",""learning styles"",""technology professional development"",""adult learning"",motivation,moodle,""active learning"",""business strategy"",""problem based learning"",""project management"",management,""project based learning"",teaching,e learning,facilitating,feedback,gamification,""global business strategy"",""games in education"",""human development"",""innovative teaching"",""instructional design   technology"",""online teaching"",psychology,pedagogy,""personal growth"",""quality assurance"",""resilience topics"",""people management"",""human resources"",storytelling,""self education"",""teacher training education active methods problem based learning creativity innovation collaborative learning"",""teaching adults"",""teaching with technology"",""university classroom"",""virtual education"",""video presentations"",""power point presentations""}",,,
4,2,,"{Anatomy,Biology}",,,
233,,,"{maths,""second language"",""self management"",""critical thinking"",""communicative methods"",""life skills"",environment,inquiry,preschool}",,,
254,,,"{""english as foreign language"",""teacher training"",""teacher training education active methods problem based learning creativity innovation collaborative learning"",technology,learning}",,,
1324,13,,"{mathematics,resource,""technology  inquiry"",""educational software""}",,,
286,,,"{""educational technology"",education}",,,
276,,,"{Culture,""Foreign Language"",""learning process""}",,,
90,15,,{"primary years program"},,,
1363,18,,"{mathematics,university,""teacher training""}",,,
912,13,,{"Not teacher"},,,
268,,,"{mathematics,chemistry,physics}",,,
410,13,,"{""early learning"",kindergarten,""early childhood education"",inquiry}",,,
573,,,"{literacy,""art history"",""multiple intelligent"",""technology integration"",languages,culture,""cross curriculum"",innovation,""mythology  folklore"",""portuguese language"",spanish,animation,art brazil}",,,
277,,,{"Financial mathematics"},,,
847,13,,"{mathematics,languages,physics,history,""science biology physics chemistry environmental science"",""social studies""}",,,
1389,1,,"{maths,physics}",,,
1302,2,,,,,
896,13,,"{magnetism,""grade 6 biology"",""measures forces"",gravity,""simple machines"",ecosystems,adaptation,habitats,""food chain"",""biogeochemical cycle"",""grade 5 natural science""}",,,
288,18,,{"english as foreign language"},,,
219,18,,"{""teacher training"",""english language"",""english as foreign language"",""english as second language"",""higher education""}",,,
79,18,,"{""health care"",nursing,""global health"",""health administration"",dance}",,,
311,,,"{programming,""project work"",""media design""}",,,
851,1,,"{mathematics,engineering}",,,
297,,,"{""english as foreign language"",spanish,mathematics,""english language""}",,,
1304,13,,"{""teacher collaboration"",""teacher knowledge""}",,,
279,,,"{pedagogy,design,Drawing,Music}",,,
275,,,{"Arts Design Philosophy Theory"},,,
335,,,"{calculus,probability,polynomials,vectors,""differential equations"",statistics}",,,
280,,,"{""technology integration"",""technology professional development""}",,,
717,18,,"{biology,genetics,""developmental biology"",microbiology,""soil science""}",,,
1541,6,,"{english as second language,primary,kindergarten}",,,
302,,,"{creativity,""self education"",reading}",,,
768,15,,,,,
314,,,"{""digital marketing"",""games in education"",""digital communication"",e learning}",,,
1198,2,10,"{chemistry,""chemistry in the environment"",optics,electricity,""climate change"",""cellular biology"",""tissues, organs,  systems"",astronomy,""earth science"",ecology,""population dynamics"",genetics}",,,
1393,18,,{mediation},,,
1539,13,,"{Library,""technology integration"",""technology professional development"",""technology  inquiry""}",,,
291,6,,,,,
299,,,"{psychology,education,""social science""}",,,
913,15,,{"social  emotional education"},,,
336,18,,,,,
1173,18,,"{engineering,""technical education"",""teaching for engineering students""}",,,
303,,,"{literature,language,linguistics,grammar,poetry,dialects,spanish,semantics,literacy,""social reading""}",,,
1461,18,,"{""information technology"",""flipping the classroom"",online learning}",,,
733,6,,"{""technical education"",leadership,""classroom management""}",,,
1598,6,,"{pedagogy,""applied learning"",""active learning"",""adult education"",""active methods"",""academic development"",""collaborative learning"",""creative teaching"",curriculum,""curriculum design"",constructivism,""college teaching"",creativity,""classroom management"",teaching,elearning,""educational technology"",evaluation,facilitating,""field education"",""higher education"",""innovative teaching"",""instructional design   technology"",""learning skills"",""learning  development"",""listening skills"",""learning disabilites"",""professional education"",""problem solving"",""personalized learning"",""speaking skills""}",,,
64,4,,"{""ancient greek"",literature,history}",,,
1509,13,,"{""junior math"",""junior science"",iPads,""social justice"",""science education"",algebra,""media literacy"",game,""k 8 professional development"",skype,metacognition,energy,""environmental education""}",,,
395,2,,"{chemistry,biology,science,applied,ICT}",,,
1312,1,,"{math,algebra,geometry}",,,
347,,,"{""primary years program"",""social  emotional""}",,,
318,,,,,,
316,,,"{""Art  design"",Illustration,Animation,""Digital media"",""Graphic design""}",,,
703,5,,"{""network security"",""control systems"",software,""word processing"",database,""cyber security"",programming,""game design"",""graphic design"",""web authoring""}",,,
332,,,"{english as second language,literature,""english as foreign language"",""english  reading   writing"",""english language"",english}",,,
363,,,"{""student construction"",artifact,research,""project work""}",,,
1626,18,,"{computer,""information technology"",""electronics engineering""}",,,
1627,6,,"{""foreign language"",""second language writing"",""english as second language english as second language languages"",children,teenagers}",,,
217,2,,"{biology,aquaculture,chemistry,""environmental issues""}",,,
349,,,"{STEAM,Science,Google Apps for Education,""central role"",""professional learning"",""inquiry based instruction"",chemistry,STEM,innovation}",,,
326,,,"{""english  language"",""english as second language"",""english as foreign language"",""english language structure"",""communicative methods""}",,,
339,,,"{comunication,letters,language,linguistics,literature,portuguese,""technical education""}",,,
341,,,"{literature,linguistics}",,,
340,,,"{""Medical education"",""medical device"",""sales training"",""clinical training"",""adult education"",""professional education"",""corporate training""}",,,
337,,,"{chemistry,education,research}",,,
939,6,,"{""english as foreign language"",""english as second language"",english,""private teaching""}",,,
1514,1,,"{""math tutor"",religion}",,,
379,,,,,,
1444,18,,"{""educational technology"",""english language structure"",""english  language"",english as second language,english as second language,""english as second language"",""english second language"",""media literacy"",multimedia,""mythology  folklore"",""multiple intelligent"",""media specialist"",""media arts"",""media studies"",careers,""digital media"",""film study"",""adult education"",""blended learning"",grammar}",,,
331,17,,"{""environmental issues"",water,""environment education""}",,,
364,,,"{english as second language,""english as foreign language"",""english as second language""}",,,
366,,,"{dentistry,dental,esthetics}",,,
365,6,,"{""foreign language"",""technology integration""}",,,
224,4,,"{primary,""Primary Teacher"",""primary math"",""primary science"",""primary english""}",,,
625,13,,,,,
1192,6,,"{Militar,""english  language"",elearning,grammar,""active learning"",""blended learning"",Composition Literature,communication,constructivism,conversation,""distance education"",""english for specific purposes"",""flipping the classroom"",interactive,innovation,""listening skills"",""learning styles"",listening,""online teaching"",""teaching with technology""}",,,
338,,,"{""english as foreign language"",""Phonetics  phonology"",english,""english language"""",dialects}",,,
392,15,,"{kindergarten,""english literacy"",""english second language"",""pre primary""}",,,
1671,18,,"{""vocational training"",e learning}",,,
1271,2,,{biology},,,
368,,,"{linguistics,""english as foreign language"",""english as second language""}",,,
773,2,,"{""conservation energy  resources"",""climate change"",""class management"",differentiation,""earth science"",energy,environment,ipad,ipads,""new teacher"",""planets solar system"",""physical science"",science,""scientific method"",""water cycle""}",,,
399,,,"{math,""science teaching"",education,""college prep"",""high school""}",,,
509,6,,"{English,""english as foreign language"",""language arts"",Reading,writing,Listening,Speaking,Literature,""film study"",Poetry,english as second language,""english as second language"",""Cambridge Preliminary English Test"",""Cambridge exams"",Turkey,Istanbul,""Cambridge English""}",,,
352,2,,"{physics,""computer science""}",,,
342,,,"{algebra,trigonometry,""area measurement""}",,,
351,,,,,,
175,18,,"{mathematics,""engineering mathematics"",math,maths,""math tec sci"",""teaching for engineering students""}",,,
1553,15,,"{""second language speaker"",""english  language"",""study skills"",""social studies"",grammar,""writing workshop"",reading,history,science}",,,
345,1,,,,,
1252,15,,"{online,""Distributed Learning"",""Distance Learning"",""special needs"",""Individualized Learning""}",,,
137,,,"{""Lab Instructor"",""science biology physics chemistry environmental science"",""science fair supervisor""}",,,
354,,,"{computing,""information technology"",""higher education""}",,,
842,3,,"{vocal,instrumental,composition,""music theory"",""musical theater"",""ear training""}",,,
1490,18,,"{""social media"",""instructional design"",""instructional design   technology"",""educational technology""}",,,
1345,15,,"{""first grade"",""social studies"",""science experiments"",""elementary k"",science,intervention,research,reading,writing,spelling,""math k 5"",""art k 5""}",,,
387,,,"{""language arts"",arabic}",,,
369,,,"{physics,sound,""force  motion"",""electricity  magnetism"",""energy  momentum"",light,""wave nature light"",""waves  sound"",motion,pressure,""fluid pressure""}",,,
654,2,,"{behavior,""special education"",science,""earth science"",physics,chemistry,biology,astronomy,""Alternative ed""}",,,
371,,,,,,
388,2,,{construction},,,
372,,,"{dentistry,orthodontics,oral medicine,medicine,teeth}",,,
389,,,"{algebra,geometry}",,,
373,,,"{maths,science,hindi,""creative writing"",""critical thinking"",""an english for preschool  school children""}",,,
